Student_ID,Hours_Study_per_day,Average_Sleep_Hours,Daily_Screen_Time,Attendance_Percentage,Extracurricular_Activities,Stress_Level,CGPA
STU_057,4.3,6.3,7.9,94.1,Yes,Low,6.45
STU_058,5.4,6.4,11.5,77.0,No,Medium,7.48
STU_059,6.7,7.6,9.6,99.9,Yes,High,8.53
STU_060,8.0,6.4,6.9,82.3,Yes,Low,7.15
STU_061,5.0,7.4,10.3,84.8,No,Medium,6.45
STU_062,5.6,10.1,2.0,77.5,Yes,Medium,7.93
STU_063,3.8,8.3,11.4,60.8,No,Medium,8.97
STU_064,3.6,6.5,2.8,93.8,Yes,Low,8.27
STU_065,7.6,8.8,6.9,92.4,Yes,High,6.92
STU_066,8.7,6.4,4.6,82.2,No,Low,8.79
STU_067,5.9,4.0,4.1,85.7,Yes,Low,6.34
STU_068,8.0,5.5,11.5,90.2,Yes,High,7.95
STU_069,6.7,4.2,6.6,69.4,Yes,High,8.02
STU_070,4.7,6.5,9.0,79.7,Yes,Low,7.34
STU_071,6.7,7.0,7.9,92.9,No,Low,6.68
STU_072,9.1,9.5,9.4,72.5,Yes,Low,7.7
STU_073,5.9,7.5,8.2,87.9,No,Low,8.28
STU_074,9.1,6.7,4.2,71.4,No,Low,9.69
STU_075,1.0,8.2,11.0,89.7,No,Low,7.4
STU_076,7.6,4.0,6.5,84.6,No,Medium,8.05
STU_077,6.2,7.4,3.3,68.8,Yes,High,4.83
STU_078,5.4,8.2,6.7,96.6,No,Medium,7.19
STU_079,6.2,4.8,12.5,77.7,Yes,Medium,7.35
STU_080,2.0,8.7,10.6,76.9,No,Low,6.92
STU_081,5.6,7.5,7.0,87.0,No,High,5.52
STU_082,6.7,6.4,7.0,96.5,Yes,High,6.33
STU_083,9.0,7.9,7.0,74.8,No,High,7.83
STU_084,5.0,10.4,14.2,85.6,No,High,7.14
STU_085,4.4,7.3,9.1,89.3,Yes,High,4.69
STU_086,5.0,7.4,9.3,91.9,Yes,Medium,5.17
STU_087,7.8,6.3,11.1,86.8,No,Low,6.87
STU_088,6.7,5.7,8.7,81.3,No,Medium,8.05
STU_089,4.9,8.2,7.2,76.7,No,High,4.02
STU_090,7.0,5.7,7.4,85.9,No,High,6.58
STU_091,6.2,7.1,7.8,74.3,No,Medium,6.87
STU_092,7.9,6.3,7.9,55.8,No,Low,9.32
STU_093,4.6,7.7,10.2,89.4,Yes,Medium,7.1
STU_094,5.3,7.5,8.2,94.0,Yes,High,7.53
STU_095,5.2,8.6,10.2,61.4,No,Medium,8.07
STU_096,3.1,6.2,7.8,74.9,No,Medium,4.94
STU_097,6.6,6.6,8.2,91.2,Yes,Low,8.74
STU_098,6.5,5.5,2.0,100.0,Yes,Medium,7.79
STU_099,6.0,6.3,10.7,85.2,No,High,6.96
STU_100,5.5,7.6,9.0,77.7,No,Medium,10.0
STU_101,3.2,8.1,11.0,83.2,No,High,4.59
STU_102,5.2,5.6,2.0,98.7,No,Medium,9.57
STU_103,5.3,8.3,14.3,78.5,Yes,Medium,7.19
STU_104,4.4,9.0,7.6,77.0,Yes,Low,8.37
STU_105,5.7,7.6,11.3,,Yes,High,6.89
STU_106,6.8,9.8,4.9,75.5,Yes,Medium,7.17
STU_107,9.8,5.8,9.8,86.2,No,Medium,7.61
STU_108,6.3,5.1,4.8,100.0,No,Medium,7.9
STU_109,6.5,4.3,6.1,88.2,No,High,5.7
STU_110,5.9,9.2,,82.5,No,Low,8.76
STU_111,2.2,8.0,7.4,82.1,Yes,High,7.24
STU_112,5.9,6.9,8.7,69.4,No,Low,6.34
STU_113,6.1,7.4,,93.8,No,Medium,6.86
STU_114,10.9,5.3,9.5,84.2,No,Low,9.71
STU_115,5.6,,8.5,83.2,Yes,Medium,7.35
STU_116,6.6,7.2,9.1,100.0,No,Medium,7.93
STU_117,5.9,7.2,15.2,88.0,No,Low,6.75
STU_118,3.7,8.1,7.8,77.5,Yes,Medium,8.87
STU_119,8.3,7.7,8.6,80.7,Yes,High,8.5
STU_120,7.5,7.3,11.2,96.5,No,Low,9.63
STU_121,7.6,5.8,11.3,86.1,No,High,6.78
STU_122,4.2,7.7,11.6,70.6,Yes,Medium,8.07
STU_123,8.8,9.8,9.9,94.2,No,Medium,8.44
STU_124,3.2,9.0,4.6,78.3,Yes,Low,9.5
STU_125,7.2,9.4,12.9,100.0,No,Low,6.82
STU_126,10.4,6.2,4.6,95.8,Yes,Low,9.69
STU_127,4.0,5.5,8.9,80.5,No,Low,7.29
STU_128,4.9,6.8,5.7,97.8,Yes,Low,7.86
STU_129,6.2,7.1,7.8,85.7,Yes,Medium,7.68
STU_130,5.0,,9.0,93.5,Yes,High,7.46
STU_131,2.9,4.5,9.0,,Yes,High,6.76
STU_132,6.1,9.3,9.3,76.5,No,Medium,7.86
STU_133,3.9,6.8,12.8,78.6,Yes,Low,9.21
STU_134,6.9,6.4,9.4,95.3,No,Low,8.86
STU_135,4.2,5.5,7.3,81.7,Yes,Medium,8.9
STU_136,9.1,4.5,10.9,81.0,Yes,Low,7.49
STU_137,4.4,8.2,11.6,75.4,Yes,Medium,7.0
STU_138,5.4,7.1,4.3,89.2,Yes,Medium,8.96
STU_139,7.6,5.1,9.8,100.0,Yes,Medium,8.77
STU_140,3.5,5.1,10.1,74.3,No,Medium,9.15
STU_141,6.5,6.5,7.1,85.2,No,High,6.39
STU_142,8.6,9.5,12.1,99.1,No,High,7.12
STU_143,2.8,,7.5,84.2,No,Medium,5.53
STU_144,6.4,4.7,8.4,89.5,No,High,6.84
STU_145,6.5,6.6,7.5,74.4,Yes,High,8.2
STU_146,7.6,6.6,8.0,89.3,No,Medium,6.94
STU_147,3.5,4.0,4.7,83.1,No,Medium,8.27
STU_148,3.4,6.9,3.7,94.9,No,Medium,7.27
STU_149,7.0,6.7,12.8,96.9,No,High,6.93
STU_150,6.6,8.0,5.5,100.0,Yes,High,5.9
STU_151,6.5,9.8,5.0,90.8,No,Low,7.82
STU_152,6.7,8.7,2.0,88.3,No,Medium,4.8
STU_153,4.6,6.6,6.1,86.9,No,Medium,7.28
STU_154,6.5,5.3,4.0,81.5,No,Medium,5.54
STU_155,6.6,10.9,12.9,88.4,Yes,Low,9.11
STU_156,4.6,7.1,11.0,82.0,Yes,High,8.28
STU_157,9.7,7.0,5.9,86.7,No,Medium,8.33
STU_158,6.9,7.0,14.8,98.2,No,High,8.71
STU_159,3.6,7.3,10.9,74.9,Yes,High,5.83
STU_160,7.3,6.8,7.0,96.4,Yes,High,9.15
STU_161,4.1,6.1,2.0,98.2,Yes,Medium,8.86
STU_162,7.6,6.2,14.9,83.8,Yes,Medium,7.33
STU_163,8.3,7.0,3.8,63.8,No,Low,9.68
STU_164,4.4,6.2,3.1,78.9,No,Medium,6.17
STU_165,7.9,5.9,11.1,98.0,Yes,Low,6.73
STU_166,6.8,7.2,15.3,84.8,Yes,Medium,6.7
STU_167,7.6,6.6,12.2,75.0,Yes,Low,7.47
STU_168,9.8,9.3,9.7,80.0,Yes,Low,7.59
STU_169,5.5,4.0,9.8,93.4,No,Low,9.1
STU_170,4.5,8.6,10.6,90.5,No,Low,7.14
STU_171,4.2,8.9,10.3,82.6,No,High,7.32
STU_172,4.4,4.0,8.8,81.3,Yes,High,6.99
STU_173,5.8,,8.3,81.1,No,Medium,5.32
STU_174,6.7,6.4,,75.8,No,Low,8.14
STU_175,6.6,,5.7,100.0,No,Low,5.31
STU_176,7.7,5.8,7.2,81.8,No,Low,7.72
STU_177,6.0,5.3,2.9,97.2,Yes,Low,6.22
STU_178,8.9,9.6,7.7,100.0,Yes,High,9.63
STU_179,5.5,8.4,5.0,95.0,Yes,Low,9.24
STU_180,11.4,8.9,4.7,80.7,Yes,Medium,8.59
STU_181,7.3,8.1,8.5,89.0,Yes,Low,9.67
STU_182,4.3,5.3,12.2,84.8,No,Low,6.51
STU_183,3.9,6.2,10.8,76.0,No,Medium,7.88
STU_184,7.0,7.7,3.3,88.2,No,Medium,7.74
STU_185,5.6,5.2,5.0,73.2,Yes,Low,8.04
STU_186,7.4,8.1,10.8,96.9,No,Low,9.34
STU_187,6.9,6.6,5.1,80.4,No,Medium,8.38
STU_188,5.9,6.4,7.3,87.0,No,Low,8.08
STU_189,4.3,8.1,9.7,87.8,No,Low,5.62
STU_190,3.0,7.7,5.1,82.4,No,High,5.57
STU_191,5.1,6.5,8.3,90.9,No,Medium,7.35
STU_192,7.7,8.7,4.0,80.3,Yes,Medium,7.79
STU_193,6.4,5.4,6.2,93.7,Yes,Medium,6.37
STU_194,3.5,7.9,9.0,71.5,Yes,Medium,10.0
STU_195,6.3,7.9,3.2,86.3,Yes,Medium,9.41
STU_196,6.8,6.5,9.3,100.0,Yes,Medium,8.43
STU_197,4.2,7.5,7.9,75.0,No,High,7.31
STU_198,6.3,5.1,9.7,78.2,No,Low,7.42
STU_199,6.1,8.4,8.7,90.1,No,Medium,6.81
STU_200,3.7,6.7,12.1,86.8,Yes,Medium,7.53
STU_201,6.7,6.2,8.4,88.5,No,High,7.48
STU_202,7.1,8.6,6.7,89.9,No,Medium,6.38
STU_203,8.2,5.9,8.4,91.3,Yes,Medium,8.56
STU_204,8.1,4.9,9.6,96.1,No,Low,7.85
STU_205,3.2,4.7,8.1,89.1,Yes,Medium,5.26
STU_206,4.1,7.9,8.1,82.6,Yes,Low,6.73
STU_207,7.0,5.1,5.9,91.7,No,Medium,7.0
STU_208,7.0,9.6,6.0,100.0,Yes,Low,10.0
STU_209,7.0,4.0,3.8,83.7,No,Medium,8.17
STU_210,13.7,9.5,13.2,75.3,No,Low,6.86
STU_211,7.1,7.3,4.3,96.1,No,Medium,8.08
STU_212,8.3,6.9,5.9,83.8,Yes,High,6.21
STU_213,7.9,6.2,5.8,63.3,Yes,Low,9.19
STU_214,7.3,7.6,10.7,93.5,Yes,Medium,7.11
STU_215,5.4,6.9,7.1,79.6,No,Medium,7.39
STU_216,7.5,8.7,11.7,84.1,No,Low,9.8
STU_217,4.5,7.2,6.0,88.3,Yes,High,5.66
STU_218,5.5,7.2,8.8,86.9,No,Low,6.14
STU_219,5.0,6.5,5.5,92.1,No,Medium,6.8
STU_220,6.2,6.9,14.4,80.6,Yes,Medium,8.89
STU_221,10.6,7.5,4.4,90.1,No,Medium,6.35
STU_222,2.3,4.4,8.9,82.4,No,Medium,4.1
STU_223,7.4,5.0,9.9,92.4,Yes,Low,7.33
STU_224,2.8,8.1,9.2,91.2,Yes,Low,8.99
STU_225,5.1,7.3,7.4,75.6,No,High,8.38
STU_226,8.2,6.7,7.6,95.9,No,Medium,7.42
STU_227,6.1,7.0,8.1,79.6,No,High,6.59
STU_228,3.8,7.5,7.6,93.1,No,High,8.47
STU_229,4.6,6.2,10.9,88.7,Yes,High,4.57
STU_230,7.4,5.8,14.6,100.0,Yes,Medium,7.06
STU_231,4.5,7.3,6.3,82.8,No,Medium,7.73
STU_232,6.4,5.5,3.9,81.5,Yes,High,7.88
STU_233,6.1,7.6,7.7,84.8,Yes,Medium,7.1
STU_234,4.7,4.4,15.7,82.0,No,Low,7.87
STU_235,10.3,8.5,5.6,93.0,No,High,5.28
STU_236,7.3,7.7,12.9,68.8,No,High,5.89
STU_237,1.9,7.4,13.0,74.5,No,Medium,7.72
STU_238,6.4,8.5,6.3,74.3,Yes,Low,7.24
STU_239,4.7,9.5,9.7,94.5,No,Medium,7.76
STU_240,7.7,8.5,12.9,100.0,Yes,High,8.01
STU_241,4.4,4.2,6.9,84.0,No,High,6.4
STU_242,5.8,5.1,7.4,83.3,No,Low,7.81
STU_243,7.0,6.1,6.3,85.7,No,Low,6.46
STU_244,7.7,7.0,5.0,96.6,No,High,6.88
STU_245,3.6,7.8,6.1,75.7,No,Medium,8.23
STU_246,5.3,5.9,4.3,87.4,Yes,Medium,7.87
STU_247,5.1,7.3,8.1,94.8,No,High,6.5
STU_248,4.7,5.9,5.7,90.0,No,Low,8.1
STU_249,9.5,6.1,8.7,86.9,Yes,Medium,9.14
STU_250,6.8,4.9,3.3,95.0,No,Low,5.1
STU_251,3.5,5.6,9.0,58.0,No,Medium,8.89
STU_252,7.8,5.0,10.5,91.8,Yes,High,6.51
STU_253,10.2,5.5,2.0,78.5,No,Medium,8.81
STU_254,8.1,8.6,9.1,66.7,No,High,9.48
STU_255,3.0,5.6,11.7,90.1,No,Medium,5.67
STU_256,5.0,10.9,4.4,98.7,No,Medium,6.93
STU_257,8.5,7.7,13.0,83.6,No,Low,7.62
STU_258,4.6,7.3,9.3,94.5,No,Medium,6.56
STU_259,6.9,5.7,5.9,100.0,No,Medium,9.58
STU_260,7.5,8.1,7.8,98.1,Yes,Low,6.76
STU_261,4.1,6.1,9.7,100.0,No,Medium,6.83
STU_262,5.9,7.2,8.2,92.4,No,Medium,7.75
STU_263,1.0,10.8,9.6,85.8,Yes,High,5.87
STU_264,4.0,6.9,5.2,69.0,No,Medium,7.03
STU_265,5.5,8.7,8.5,82.5,No,High,7.15
STU_266,3.5,5.9,3.8,76.6,Yes,Low,7.17
STU_267,9.3,6.9,7.7,100.0,No,Low,8.21
STU_268,3.1,9.7,5.3,83.2,No,Medium,7.14
STU_269,5.1,6.1,5.8,86.2,No,Medium,5.68
STU_270,6.3,9.7,11.7,90.5,Yes,Low,8.09
STU_271,8.9,8.1,11.3,85.4,Yes,High,9.68
STU_272,3.1,6.2,9.8,100.0,Yes,High,7.09
STU_273,8.3,7.9,4.7,78.8,No,Medium,8.32
STU_274,6.0,8.5,7.1,86.9,Yes,Low,9.06
STU_275,4.0,7.9,11.6,77.6,No,High,5.09
STU_276,6.9,4.6,8.4,71.8,Yes,Medium,9.65
STU_277,6.4,5.9,15.0,78.9,Yes,High,7.77
STU_278,4.8,6.6,9.2,84.6,No,High,8.65
STU_279,6.1,6.9,8.6,80.7,No,High,6.16
STU_280,5.2,7.9,7.1,78.1,Yes,Medium,9.83
STU_281,6.2,7.3,8.4,70.9,No,Low,8.66
STU_282,7.3,5.0,7.5,84.2,Yes,Medium,8.31
STU_283,9.2,7.6,10.1,70.0,No,Medium,7.75
STU_284,3.5,7.9,10.9,92.6,No,High,6.58
STU_285,10.3,7.8,5.6,85.8,Yes,Low,9.69
STU_286,2.1,8.6,4.0,70.4,Yes,Low,8.26
STU_287,5.7,,2.5,81.9,Yes,High,5.01
STU_288,7.2,7.7,9.5,77.5,No,High,5.67
STU_289,6.6,6.9,4.7,88.2,No,High,7.24
STU_290,4.8,4.5,2.0,98.4,Yes,High,7.66
STU_291,5.6,7.6,9.2,66.2,No,Medium,7.43
STU_292,5.0,7.3,15.5,86.2,Yes,Medium,8.91
STU_293,4.8,7.4,8.0,83.4,Yes,High,4.87
STU_294,7.7,5.1,10.5,91.7,No,Medium,7.59
STU_295,6.7,5.4,8.2,87.1,No,Medium,5.32
STU_296,4.6,8.6,7.7,77.5,No,Low,8.95
STU_297,7.8,6.9,10.8,81.8,No,Medium,7.16
STU_298,6.6,8.0,7.1,77.0,Yes,High,7.97
STU_299,7.6,7.0,8.8,95.8,No,Low,6.72
STU_300,7.3,7.0,9.0,85.2,Yes,Low,9.37
STU_301,4.3,8.4,6.0,100.0,No,Medium,9.0
STU_302,4.9,6.2,11.0,84.4,Yes,Low,8.3
STU_303,7.5,7.1,7.5,77.9,No,Low,7.57
STU_304,7.2,6.3,5.7,,Yes,Medium,8.25
STU_305,6.0,6.3,9.6,67.0,Yes,High,6.47
STU_306,6.2,6.5,5.3,69.2,No,Medium,8.53
STU_307,8.6,7.3,8.1,87.7,Yes,Low,9.74
STU_308,4.8,6.3,8.0,90.1,No,Low,8.9
STU_309,7.1,8.9,11.3,69.2,Yes,Medium,6.78
STU_310,5.6,5.7,9.4,,Yes,Medium,8.15
STU_311,5.6,6.7,7.9,80.2,Yes,High,5.44
STU_312,8.2,6.3,10.5,86.5,Yes,Medium,8.86
STU_313,7.7,9.2,12.2,100.0,No,High,7.74
STU_314,7.6,7.3,9.7,94.0,Yes,Low,5.55
STU_315,8.6,8.5,8.0,82.3,No,Medium,6.47
STU_316,6.0,4.8,4.1,76.1,No,Low,7.39
STU_317,7.4,7.4,4.8,63.5,No,High,6.75
STU_318,5.4,8.3,7.1,77.8,No,Medium,6.39
STU_319,6.6,7.1,6.2,82.9,No,Medium,7.97
STU_320,5.7,8.6,7.4,75.1,No,Low,8.28
STU_321,6.2,6.2,8.2,83.7,Yes,Low,7.55
STU_322,7.2,9.1,9.6,85.8,Yes,Medium,7.33
STU_323,4.4,10.4,7.8,82.8,No,Low,9.17
STU_324,10.2,6.5,9.5,78.5,No,Medium,10.0
STU_325,4.0,6.3,8.2,86.7,No,Low,6.98
STU_326,3.6,9.2,2.1,89.4,No,Medium,6.87
STU_327,8.3,9.4,5.2,74.1,No,High,8.54
STU_328,7.6,6.2,7.6,99.1,No,High,6.86
STU_329,7.2,6.4,4.4,84.0,No,High,6.99
STU_330,7.3,6.6,9.8,85.2,Yes,Low,8.61
STU_331,6.0,5.0,12.6,92.1,No,Low,4.97
STU_332,4.2,5.6,11.7,87.3,Yes,Medium,8.95
STU_333,6.2,5.5,7.4,94.5,Yes,Medium,7.85
STU_334,4.6,5.8,12.5,87.9,No,Medium,6.85
STU_335,8.0,6.9,8.4,78.9,Yes,Low,7.58
STU_336,5.7,7.4,7.0,88.6,Yes,Low,7.8
STU_337,4.3,9.3,6.2,73.6,Yes,Low,6.18
STU_338,5.4,5.5,7.1,86.1,No,High,8.92
STU_339,6.8,8.5,6.8,84.7,No,Low,7.83
STU_340,4.9,6.7,8.5,82.9,No,Medium,8.03
STU_341,4.4,6.9,8.5,83.7,No,Low,8.77
STU_342,6.5,8.0,8.0,66.2,No,Medium,6.54
STU_343,6.5,5.3,9.3,79.5,Yes,Medium,8.17
STU_344,5.0,7.6,11.6,85.9,No,High,6.66
STU_345,5.1,7.2,10.8,86.6,No,High,8.01
STU_346,6.5,7.7,3.5,74.7,No,Medium,4.95
STU_347,3.1,7.4,2.0,97.7,Yes,High,7.31
STU_348,3.2,10.7,10.8,76.3,No,High,6.59
STU_349,4.6,6.0,3.9,94.7,No,High,7.9
STU_350,5.6,6.2,7.3,89.3,Yes,High,7.67
STU_351,6.6,6.1,4.5,78.5,No,Low,6.7
STU_352,9.0,6.2,2.6,100.0,Yes,Medium,7.19
STU_353,7.7,6.0,9.6,73.1,Yes,Low,7.84
STU_354,5.7,8.8,10.3,94.2,No,Low,6.47
STU_355,6.0,9.1,6.3,95.0,Yes,High,8.88
STU_356,4.0,6.1,2.0,78.3,No,Medium,7.06
STU_357,6.0,5.8,6.4,98.9,No,High,4.0
STU_358,5.4,7.7,9.2,82.5,Yes,High,6.47
STU_359,6.6,6.2,3.6,87.9,No,High,5.89
STU_360,4.3,7.9,8.6,87.6,Yes,High,5.35
STU_361,7.0,7.3,8.0,83.7,Yes,Low,6.49
STU_362,9.1,4.7,9.7,93.1,Yes,Low,8.01
STU_363,5.8,9.3,8.4,92.9,Yes,Medium,9.88
STU_364,6.8,9.7,5.1,67.5,Yes,Low,8.75
STU_365,7.4,6.1,11.6,98.0,No,Low,6.81
STU_366,5.2,6.4,7.5,68.4,No,Medium,8.05
STU_367,6.4,7.4,7.9,95.3,Yes,High,6.27
STU_368,6.0,7.5,5.2,96.3,No,Medium,6.67
STU_369,6.2,8.0,6.7,74.1,No,Medium,6.11
STU_370,4.5,10.0,5.3,80.9,No,Medium,6.02
STU_371,6.0,6.7,7.5,73.9,No,Low,7.2
STU_372,7.0,5.8,13.1,82.9,Yes,Low,7.63
STU_373,8.9,4.9,3.9,81.9,Yes,High,7.72
STU_374,7.9,5.9,3.2,92.8,No,Medium,7.0
STU_375,10.3,7.0,12.4,98.1,No,High,6.95
STU_376,4.5,9.7,7.4,99.0,Yes,Low,8.91
STU_377,7.7,6.2,6.0,79.4,Yes,High,5.47
STU_378,6.4,7.3,11.1,82.9,No,Medium,8.05
STU_379,10.4,7.0,6.2,68.2,No,Medium,6.86
STU_380,4.4,8.8,13.5,76.9,No,Medium,6.79
STU_381,4.3,10.8,10.0,94.6,No,High,5.23
STU_382,4.8,6.2,6.5,100.0,Yes,Medium,7.09
STU_383,1.8,6.3,14.5,72.7,No,Medium,8.59
STU_384,4.9,8.6,6.2,79.1,No,High,7.92
STU_385,4.5,8.0,10.2,84.7,Yes,High,8.59
STU_386,6.3,9.8,8.9,87.8,No,Medium,8.5
STU_387,6.7,7.9,11.9,76.9,No,High,5.72
STU_388,9.8,6.5,12.7,89.2,Yes,Medium,7.56
STU_389,7.9,7.9,8.1,80.3,No,Low,6.89
STU_390,4.8,8.7,5.7,84.9,No,Medium,9.28
STU_391,4.2,8.2,9.4,90.5,No,High,5.57
STU_392,7.0,7.8,6.0,85.1,Yes,High,8.19
STU_393,3.4,8.6,14.0,80.6,Yes,Medium,8.81
STU_394,9.7,8.8,8.4,83.9,No,Medium,10.0
STU_395,8.4,9.1,6.9,84.1,Yes,Low,8.81
STU_396,5.1,8.0,8.6,81.3,No,High,7.97
STU_397,2.6,6.7,4.0,82.4,No,High,9.65
STU_398,8.7,7.2,5.1,100.0,Yes,Medium,7.76
STU_399,5.8,8.8,11.6,90.6,No,High,5.01
STU_400,8.5,5.8,6.0,82.0,No,High,5.7
STU_401,2.8,7.6,4.9,92.0,Yes,Medium,8.54
STU_402,4.8,6.4,9.6,81.7,No,Low,5.47
STU_403,6.0,7.0,11.6,96.7,No,Medium,7.04
STU_404,6.1,8.9,10.2,88.7,No,Medium,8.4
STU_405,5.1,7.3,11.0,83.9,No,Medium,7.56
STU_406,7.2,7.1,5.7,89.5,No,Medium,8.01
STU_407,3.9,5.0,3.7,69.3,No,High,7.59
STU_408,5.7,8.1,12.5,73.7,No,Low,9.43
STU_409,6.2,8.0,7.0,73.1,No,Medium,6.36
STU_410,7.0,10.2,7.2,86.4,No,Medium,7.03
STU_411,7.4,6.5,12.0,100.0,Yes,Medium,6.62
STU_412,3.8,7.3,9.7,100.0,No,Medium,8.5
STU_413,2.9,7.4,9.4,91.4,Yes,Low,8.88
STU_414,8.6,9.4,14.5,90.0,Yes,Low,9.33
STU_415,6.7,6.9,6.1,67.0,Yes,Medium,8.86
STU_416,4.5,7.4,10.8,79.6,No,Medium,5.83
STU_417,9.1,7.9,,77.1,No,Low,10.0
STU_418,6.2,7.3,,78.8,No,High,9.08
STU_419,8.4,6.3,12.6,83.3,No,Medium,8.22
STU_420,6.1,7.3,9.5,80.3,No,Medium,9.64
STU_421,10.1,8.6,9.6,65.2,No,High,5.88
STU_422,9.5,5.5,11.2,92.5,No,Low,7.55
STU_423,5.5,7.2,6.9,74.3,Yes,Low,7.17
STU_424,7.9,5.9,5.5,87.4,Yes,High,8.29
STU_425,7.3,8.8,4.9,100.0,No,Medium,6.54
STU_426,8.7,4.7,2.1,75.8,No,Medium,9.05
STU_427,4.1,6.2,14.2,59.7,Yes,High,8.44
STU_428,7.4,7.6,4.7,82.1,Yes,High,8.16
STU_429,8.1,9.3,7.3,96.0,No,High,8.72
STU_430,2.5,6.9,7.2,,Yes,Medium,6.37
STU_431,3.6,6.2,8.9,72.7,No,Medium,6.48
STU_432,1.9,9.8,10.4,90.0,No,Medium,9.15
STU_433,5.5,4.8,10.6,80.3,No,Low,8.45
STU_434,7.4,4.0,6.3,83.9,Yes,Medium,7.67
STU_435,9.0,7.7,7.5,100.0,No,Low,7.53
STU_436,6.1,6.2,8.8,70.0,No,High,4.24
STU_437,9.3,5.5,7.3,87.5,No,Medium,6.29
STU_438,3.2,8.1,12.8,89.7,No,Medium,9.44
STU_439,2.6,7.4,9.5,95.9,Yes,Medium,6.05
STU_440,5.9,6.2,10.2,86.0,No,Low,7.68
STU_441,6.8,5.1,10.0,88.1,No,Low,8.88
STU_442,5.9,8.3,11.5,81.1,No,Medium,6.33
STU_443,1.9,8.0,8.5,87.7,Yes,Low,8.02
STU_444,5.8,6.9,4.1,81.6,No,Medium,8.63
STU_445,3.4,9.8,9.2,91.2,No,High,7.75
STU_446,7.3,5.4,6.0,81.3,Yes,High,10.0
STU_447,6.7,4.7,6.4,88.8,Yes,Medium,5.7
STU_448,4.1,6.0,9.8,84.7,No,Low,8.95
STU_449,5.0,,11.7,96.3,Yes,High,7.0
